076: LDA aa,X      LD   A,(aa+X)   B5H 3DH 2 4 cpu3 ;zero page indexed x
077: LDA aaaa      LD   A,(aaaa)   ADH 75H 3 4 cpu3 ;           absolute
078: LDA aaaa,X    LD   A,(aaaa+X) BDH 7DH 3 4 cpu3 ;absolute  indexed x
079: LDA aaaa,Y    LD   A,(aaaa+Y) B9H 7CH 3 4 6502 ;absolute  indexed y
080: LDA (aa,X)    LD   A,((aa+X)) A1H 34H 2 6 cpu3 ; indexed indirect x
081: LDA (aa),Y    LD   A,((aa)+Y) B1H 3CH 2 5 6502 ; indirect indexed y
082: LDX #dd       LD   X,dd       A2H B0H 2 2 cpu3 ;          immediate
083: LDX aa        LD   X,(aa)     A6H B1H 2 3 cpu3 ;          zero page
084: LDX aa,Y      LD   X,(aa+Y)   B6H B9H 2 4 6502 ;zero page indexed y
085: LDX aaaa      LD   X,(aaaa)   AEH F1H 3 4 cpu5 ;           absolute
086: LDX aaaa,Y    LD   X,(aaaa+Y) BEH F9H 3 4 6502 ;absolute  indexed y
087: LDY #dd       LD   Y,dd       A0H 30H 2 2 6502 ;          immediate
088: LDY aa        LD   Y,(aa)     A4H 31H 2 3 6502 ;          zero page
089: LDY aa,X      LD   Y,(aa+X)   B4H 39H 2 4 6502 ;zero page indexed x
090: LDY aaaa      LD   Y,(aaaa)   ACH 71H 3 4 6502 ;           absolute
091: LDY aaaa,X    LD   Y,(aaaa+X) BCH 79H 3 4 6502 ;absolute  indexed x
092: LSR A         LSR  A          4AH C2H 1 2 6502 ;        accumulator
093: LSR aa        LSR  (aa)       46H 83H 2 5 6502 ;          zero page
094: LSR aa,X      LSR  (aa+X)     56H 8BH 2 6 6502 ;zero page indexed x
095: LSR aaaa      LSR  (aaaa)     4EH C3H 3 6 6502 ;           absolute
096: LSR aaaa,X    LSR  (aaaa+X)   5EH CBH 3 7 6502 ;absolute  indexed x
097: NOP           NOP             EAH F2H 1 2 cpu3 ;            implied
098: ORA #dd       OR   A,dd       09H 44H 2 2 cpu3 ;          immediate
099: ORA aa        OR   A,(aa)     05H 05H 2 3 cpu3 ;          zero page
100: ORA aa,X      OR   A,(aa+X)   15H 0DH 2 4 6502 ;zero page indexed x
101: ORA aaaa      OR   A,(aaaa)   0DH 45H 3 4 6502 ;           absolute
102: ORA aaaa,X    OR   A,(aaaa+X) 1DH 4DH 3 4 6502 ;absolute  indexed x
103: ORA aaaa,Y    OR   A,(aaaa+Y) 19H 4CH 3 4 6502 ;absolute  indexed y
104: ORA (aa,X)    OR   A,((aa+X)) 01H 04H 2 6 6502 ; indexed indirect x
105: ORA (aa),Y    OR   A,((aa)+Y) 11H 0CH 2 5 6502 ; indirect indexed y
106: PHA           PUSH A          48H 42H 1 3 cpu3 ;            implied
107: PHP           PUSH F          08H 40H 1 3 cpu3 ;            implied
108: PLA           POP  A          68H 52H 1 4 cpu3 ;            implied
109: PLP           POP  F          28H 50H 1 4 cpu3 ;            implied
110: ROL A         ROL  A          2AH D0H 1 2 cpu3 ;        accumulator
111: ROL aa        ROL  (aa)       26H 91H 2 5 cpu3 ;          zero page
112: ROL aa,X      ROL  (aa+X)     36H 99H 2 6 6502 ;zero page indexed x
113: ROL aaaa      ROL  (aaaa)     2EH D1H 3 6 6502 ;           absolute
114: ROL aaaa,X    ROL  (aaaa+X)   3EH D9H 3 7 6502 ;absolute  indexed x
115: ROR A         ROR  A          6AH D2H 1 2 cpu3 ;        accumulator
116: ROR aa        ROR  (aa)       66H 93H 2 5 cpu3 ;          zero page
117: ROR aa,X      ROR  (aa+X)     76H 9BH 2 6 6502 ;zero page indexed x
118: ROR aaaa      ROR  (aaaa)     6EH D3H 3 6 6502 ;           absolute
119: ROR aaaa,X    ROR  (aaaa+X)   7EH DBH 3 7 6502 ;absolute  indexed x
120: RTI           RETI            40H 02H 1 6 cpu3 ;            implied
121: RTS           RET             60H 12H 1 6 cpu3 ;            implied
